platform,content_id,aid,crawl_mode,user_name,user_id,comment_text,like_count,reply_count,comment_time,rpid,original_comment_text,clean_text,snow_score,rule_score,rule_sentiment_type,rule_reason,sentiment_score,sentiment_type,sentiment_reason,emotion_extreme_degree,influence_score,ai_reviewed,ai_sentiment_type,ai_sentiment_score,ai_reason,ai_confidence,judgment_source,ai_review_status
bilibili,BV1TpjQ6TEQz,116802608695925,hot,青色Am,2019398514,白鹿真的是超出我的理解了，很多明星被人讨厌是因为德不配位，但总还有一两项长处，没有特长至少有长相。白鹿不一样，长相一般、智商情商也不高、也没有演技、也不是什么自带背景的二代，反而非常的嚣张，到底为什么要捧这种人，实在是无法理解[藏狐],428,12,2026-06-24 10:56:48,306795738272,白鹿真的是超出我的理解了，很多明星被人讨厌是因为德不配位，但总还有一两项长处，没有特长至少有长相。白鹿不一样，长相一般、智商情商也不高、也没有演技、也不是什么自带背景的二代，反而非常的嚣张，到底为什么要捧这种人，实在是无法理解[藏狐],白鹿真的是超出我的理解了，很多明星被人讨厌是因为德不配位，但总还有一两项长处，没有特长至少有长相。白鹿不一样，长相一般、智商情商也不高、也没有演技、也不是什么自带背景的二代，反而非常的嚣张，到底为什么要捧这种人，实在是无法理解藏狐,0.999,0.999,正向,检测到转折句，优先分析转折后内容,0.999,正向,检测到转折句，优先分析转折后内容,0.499,213.572,False,正向,0.999,"AI复核失败，保留规则判断结果。错误信息：429 RESOURCE_EXHAUSTED. {'error': {'code': 429, 'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, head to: https://ai.google.dev/gemini-api/docs/rate-limits. To monitor your current usage, head to: https://ai.dev/rate-limit. \n* Quota exceeded for metric: generativelanguage.googleapis.com/generate_content_free_tier_requests, limit: 5, model: gemini-2.5-flash\nPlease retry in 45.630972812s.', 'status': 'RESOURCE_EXHAUSTED', 'details': [{'@type': 'type.googleapis.com/google.rpc.Help', 'links': [{'description': 'Learn more about Gemini API quotas', 'url': 'https://ai.google.dev/gemini-api/docs/rate-limits'}]}, {'@type': 'type.googleapis.com/google.rpc.QuotaFailure', 'violations': [{'quotaMetric': 'generativelanguage.googleapis.com/generate_content_free_tier_requests', 'quotaId': 'GenerateRequestsPerMinutePerProjectPerModel-FreeTier', 'quotaDimensions': {'model': 'gemini-2.5-flash', 'location': 'global'}, 'quotaValue': '5'}]}, {'@type': 'type.googleapis.com/google.rpc.RetryInfo', 'retryDelay': '45s'}]}}",0.0,SnowNLP + 规则,AI复核失败，保留规则判断
bilibili,BV1TpjQ6TEQz,116802608695925,hot,L柠檬树下的阳光,253726095,怪不得喜欢和年轻男子玩呢，原来是老人味闻多了,202,0,2026-06-24 10:53:41,303682781121,怪不得喜欢和年轻男子玩呢，原来是老人味闻多了,怪不得喜欢和年轻男子玩呢，原来是老人味闻多了,0.7096,0.7096,正向,SnowNLP原始判断,0.7096,正向,SnowNLP原始判断,0.2096,42.3392,False,,,,,SnowNLP + 规则,未进入AI复核队列
bilibili,BV1TpjQ6TEQz,116802608695925,hot,山茶和花,317472786,生理不适的度过了如此难熬的19分钟,250,0,2026-06-24 10:28:07,303680854929,生理不适的度过了如此难熬的19分钟,生理不适的度过了如此难熬的19分钟,0.4449,0.4449,中立,SnowNLP原始判断,0.4449,中立,SnowNLP原始判断,0.05509999999999998,13.775,False,,,,,SnowNLP + 规则,未进入AI复核队列
bilibili,BV1TpjQ6TEQz,116802608695925,hot,克里斯蒂安沈,324957456,看到他说出xmg这三个字我就感觉这人脏的很,144,13,2026-06-24 10:30:00,306793583136,看到他说出xmg这三个字我就感觉这人脏的很,看到他说出xmg这三个字我就感觉这人脏的很,0.4032,0.4032,中立,SnowNLP原始判断,0.4032,中立,SnowNLP原始判断,0.0968,13.9392,False,,,,,SnowNLP + 规则,未进入AI复核队列
bilibili,BV1TpjQ6TEQz,116802608695925,hot,南枫似夏草i,479820301,这舌苔，嘴得老臭了[吃瓜],30,1,2026-06-24 15:49:26,306821432176,这舌苔，嘴得老臭了[吃瓜],这舌苔，嘴得老臭了吃瓜,0.0992,0.0992,负向,SnowNLP原始判断,0.0992,负向,SnowNLP原始判断,0.4008,12.024,False,,,,,SnowNLP + 规则,未进入AI复核队列
bilibili,BV1TpjQ6TEQz,116802608695925,hot,苏苏考甜蜜的研,599208156,没有吃过一点苦全走捷径 非男非女在中国大陆无法选中之人,83,0,2026-06-24 12:49:59,303693604033,没有吃过一点苦全走捷径 非男非女在中国大陆无法选中之人,没有吃过一点苦全走捷径 非男非女在中国大陆无法选中之人,0.8578,0.8578,正向,SnowNLP原始判断,0.8578,正向,SnowNLP原始判断,0.3578,29.6974,False,,,,,SnowNLP + 规则,未进入AI复核队列
bilibili,BV1TpjQ6TEQz,116802608695925,hot,地球没有氧气,327139365,娱乐圈有那么多神人，于正有很大的责任，所以什么时候能把于正封杀了,31,0,2026-06-24 17:06:26,303714151377,娱乐圈有那么多神人，于正有很大的责任，所以什么时候能把于正封杀了,娱乐圈有那么多神人，于正有很大的责任，所以什么时候能把于正封杀了,0.291,0.291,负向,SnowNLP原始判断,0.291,负向,SnowNLP原始判断,0.20900000000000002,6.479,False,,,,,SnowNLP + 规则,未进入AI复核队列
bilibili,BV1TpjQ6TEQz,116802608695925,hot,骂你猪比还要扇你猪脸,3537119913970303,于正每天照完镜子看谁都是惊为天人,996,10,2026-06-24 10:13:35,306792339568,于正每天照完镜子看谁都是惊为天人,于正每天照完镜子看谁都是惊为天人,0.9787,0.9787,正向,SnowNLP原始判断,0.9787,正向,SnowNLP原始判断,0.4787,476.7852,False,正向,0.9787,"AI复核失败，保留规则判断结果。错误信息：503 UNAVAILABLE. {'error': {'code': 503, 'message': 'This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.', 'status': 'UNAVAILABLE'}}",0.0,SnowNLP + 规则,AI复核失败，保留规则判断
bilibili,BV1TpjQ6TEQz,116802608695925,hot,我桃永恒,84800483,越来越讨厌了，路转黑，这人太装了。关键你有啥资本装啊？资本硬推给你的资源，你就这种产出。我对刘亦菲也没啥好感，但是人家好几部作品摆在那里，没得说。,78,0,2026-06-24 10:39:55,303681661025,越来越讨厌了，路转黑，这人太装了。关键你有啥资本装啊？资本硬推给你的资源，你就这种产出。我对刘亦菲也没啥好感，但是人家好几部作品摆在那里，没得说。,越来越讨厌了，路转黑，这人太装了。关键你有啥资本装啊？资本硬推给你的资源，你就这种产出。我对刘亦菲也没啥好感，但是人家好几部作品摆在那里，没得说。,1.0,1.0,正向,检测到转折句，优先分析转折后内容,1.0,正向,检测到转折句，优先分析转折后内容,0.5,39.0,False,,,,,SnowNLP + 规则,未进入AI复核队列
bilibili,BV1TpjQ6TEQz,116802608695925,hot,云莅,4127525,当时B站一堆周生如故的剪辑，我第一反应就是好丑，不知道怎么火起来的[怪我咯],75,0,2026-06-24 11:09:37,306796760224,当时B站一堆周生如故的剪辑，我第一反应就是好丑，不知道怎么火起来的[怪我咯],当时B站一堆周生如故的剪辑，我第一反应就是好丑，不知道怎么火起来的怪我咯,0.0363,0.0363,负向,SnowNLP原始判断,0.0363,负向,SnowNLP原始判断,0.4637,34.7775,False,,,,,SnowNLP + 规则,未进入AI复核队列
